fecha,precio_real,precio_forecast
2021-01-01,152.35166666666666,143.5574743759762
2021-01-02,130.05416666666667,141.0512510333958
2021-01-03,137.785,138.55293842804383
2021-01-04,153.23958333333334,145.04898723122264
2021-01-05,171.19999999999996,142.56632316543167
2021-01-06,181.97333333333333,140.09139774310535
2021-01-07,175.62041666666667,137.62415443567147
2021-01-08,173.27291666666667,135.16453712748284
2021-01-09,155.77666666666667,132.71249011280094
2021-01-10,153.69291666666666,130.26795809280168
2021-01-11,158.79,137.81248096425855
2021-01-12,136.24791666666667,135.38281464997004
2021-01-13,133.34666666666666,132.96049984576322
2021-01-14,137.19541666666666,130.54548285096422
2021-01-15,150.00666666666666,128.13771035716724
2021-01-16,144.63333333333333,125.73712944536908
2021-01-17,158.27833333333334,123.34368758312472
2021-01-18,174.4525,130.93892741337896
2021-01-19,179.68833333333336,128.55960758504176
2021-01-20,192.21416666666667,126.18727150013812
2021-01-21,199.4525,123.82186814442413
2021-01-22,210.5275,121.4633468763003
2021-01-23,233.89666666666665,119.11165742408954
2021-01-24,216.63166666666663,116.76674988333495
2021-01-25,246.6533333333333,124.41016950577279
2021-01-26,240.69375,122.0786775300479
2021-01-27,234.4633333333333,119.75381992900301
2021-01-28,236.15,117.43554824043282
2021-01-29,220.7125,115.12381435613455
2021-01-30,221.15416666666667,112.81857051932201
2021-01-31,215.5883333333333,110.51976932205872
2021-02-01,237.6341666666667,118.20895849436496
2021-02-02,279.7058333333334,115.92290173506647
2021-02-03,286.4833333333333,113.64314745921592
2021-02-04,256.17583333333334,111.36964962897832
2021-02-05,250.3358333333333,109.10236254281186
2021-02-06,261.6575,106.8412408330114
2021-02-07,258.12666666666667,104.58623946326989
2021-02-08,276.9891666666667,112.31890851791303
2021-02-09,289.1766666666667,110.07601403287441
2021-02-10,294.9725,107.83910674324265
2021-02-11,292.37916666666666,105.60814291427153
2021-02-12,291.25333333333333,103.38307913068459
2021-02-13,280.265,101.16387229434157
2021-02-14,253.4670833333333,98.95047962192172
2021-02-15,285.30833333333334,106.72445343427965
2021-02-16,292.7191666666667,104.52256198754066
2021-02-17,301.87333333333333,102.32635822076722
2021-02-18,271.295,100.13580058708752
2021-02-19,270.6666666666667,97.95084784311778
2021-02-20,266.4004166666667,95.77145904674532
2021-02-21,260.3016666666667,93.59759355492781
2021-02-22,274.7941666666667,101.4108058131642
2021-02-23,265.2041666666667,99.24786618670416
2021-02-24,247.01916666666668,97.090329708328
2021-02-25,251.15666666666667,94.93815690958776
2021-02-26,280.37,92.7913086103412
2021-02-27,256.2683333333334,90.6497459166458
2021-02-28,231.53958333333333,88.51343021866809
2021-03-01,217.41666666666663,96.36391798026386
2021-03-02,218.34333333333333,94.23798157029613
2021-03-03,201.6508333333333,92.11717801052271
2021-03-04,179.1925,90.00146980694427
2021-03-05,199.7933333333333,87.89081973944437
2021-03-06,180.51166666666663,85.78519085978886
2021-03-07,173.43333333333337,83.68454648963986
2021-03-08,197.3583333333333,91.57044501023968
2021-03-09,181.4375,89.4796606938319
2021-03-10,174.42416666666668,87.39375245165128
2021-03-11,167.42333333333332,85.31268466537333
2021-03-12,174.42166666666665,83.23642197685514
2021-03-13,177.0354166666667,81.16492928623498
2021-03-14,153.20083333333335,79.09817175004551
2021-03-15,183.24750000000003,87.01770957099639
2021-03-16,185.00916666666663,84.96031882949326
2021-03-17,169.9125,82.90756023172483
2021-03-18,170.96749999999997,80.8593999412089
2021-03-19,152.09833333333333,78.81580436862912
2021-03-20,131.77833333333334,76.77674017002938
2021-03-21,122.99833333333332,74.74217424502172
2021-03-22,127.39666666666666,82.69366852666239
2021-03-23,135.76000000000002,80.66800081306398
2021-03-24,128.26916666666668,78.64673351557478
2021-03-25,138.58666666666667,76.62983449041647
2021-03-26,137.7675,74.61727182861185
2021-03-27,144.74,72.60901385426963
2021-03-28,147.7775,70.60502912288182
2021-03-29,155.14333333333337,78.586881211289
2021-03-30,160.10666666666663,76.59134954938068
2021-03-31,155.60166666666666,74.59999816836243
2021-04-01,149.955,72.61279653248062
2021-04-02,150.51833333333337,70.62971432903652
2021-04-03,151.43166666666664,68.65072146675703
2021-04-04,157.17,66.67578807417712
2021-04-05,175.07833333333335,74.68647928968974
2021-04-06,163.235,72.71957609333006
2021-04-07,154.07416666666668,70.7566440551259
2021-04-08,151.3275,68.79765416690528
2021-04-09,162.15333333333334,66.84257763239256
2021-04-10,140.78083333333333,64.89138586566068
2021-04-11,135.39,62.94405048959457
2021-04-12,143.27833333333334,70.98213812602128
2021-04-13,154.6475,69.04243122757404
2021-04-14,149.59166666666667,67.10649682612186
2021-04-15,146.9625,65.17430736465556
2021-04-16,159.765,63.245835487462045
2021-04-17,167.9983333333333,61.321054038653834
2021-04-18,160.71666666666667,59.399936060709415
2021-04-19,174.295,67.46404958467973
2021-04-20,174.65333333333334,65.55017846212786
2021-04-21,186.68833333333336,63.63989111363391
2021-04-22,177.80916666666667,61.73316136075567
2021-04-23,171.6,59.829963216276965
2021-04-24,179.25666666666666,57.930270882810746
2021-04-25,182.04083333333327,56.03405875141252
2021-04-26,188.3258333333333,64.12289619185921
2021-04-27,181.77,62.23356838466094
2021-04-28,175.87416666666664,60.34764506963724
2021-04-29,165.20333333333335,58.46510137794867
2021-04-30,144.48916666666665,56.58591262241553
